Program,xPONENT,,FlexMAP 3D,,,,,,,,,,,,,
"24(1,H3)",ADNI-458,95439,10887,232,,,,,,,,,,,,
"25(1,A4)",ADNI-451,104785,10797,207,,,,,,,,,,,,
"26(1,B4)",ADNI-452,93387,10910.5,200,,,,,,,,,,,,
"27(1,C4)",ADNI-453,96037.5,10842.5,218,,,,,,,,,,,,
"28(1,D4)",ADNI-454,99115,10764.5,226,,,,,,,,,,,,
"29(1,E4)",ADNI-455,96833,10807.5,222,,,,,,,,,,,,
"30(1,F4)",ADNI-456,99161,10778,220,,,,,,,,,,,,
"31(1,G4)",ADNI-457,98677,10958.5,204,,,,,,,,,,,,
"32(1,H4)",ADNI-458,96164.5,10794,237,,,,,,,,,,,,
"33(1,A5)",ADNI-459,90748,10975,216,,,,,,,,,,,,
"34(1,B5)",ADNI-460,97340,10976,201,,,,,,,,,,,,
"35(1,C5)",ADNI-461,102618.5,10815,241,,,,,,,,,,,,
"36(1,D5)",ADNI-462,109972,10921,213,,,,,,,,,,,,
"37(1,E5)",ADNI-463,88373.5,10910,203,,,,,,,,,,,,
"38(1,F5)",ADNI-464,100636,10925,206,,,,,,,,,,,,
"39(1,G5)",ADNI-465,96821.5,10785,211,,,,,,,,,,,,
"40(1,H5)",ADNI-466,100140.5,10787.5,230,,,,,,,,,,,,
"41(1,A6)",ADNI-459,93882.5,10869,231,,,,,,,,,,,,
"42(1,B6)",ADNI-460,99518,10956,214,,,,,,,,,,,,
"43(1,C6)",ADNI-461,103575,10720,224,,,,,,,,,,,,
"44(1,D6)",ADNI-462,110628.5,10916,203,,,,,,,,,,,,
"45(1,E6)",ADNI-463,88281.5,10717,223,,,,,,,,,,,,
"46(1,F6)",ADNI-464,100083,10733,201,,,,,,,,,,,,
"47(1,G6)",ADNI-465,97559,11008,206,,,,,,,,,,,,
"48(1,H6)",ADNI-466,98758,10933,206,,,,,,,,,,,,
"49(1,A7)",ADNI-467,88212.5,10790,201,,,,,,,,,,,,
"50(1,B7)",ADNI-468,96084,10983,231,,,,,,,,,,,,
"51(1,C7)",ADNI-469,87083,10983.5,207,,,,,,,,,,,,
"52(1,D7)",ADNI-470,94447.5,10887,208,,,,,,,,,,,,
"53(1,E7)",ADNI-471,103805.5,10925.5,206,,,,,,,,,,,,
"54(1,F7)",ADNI-472,124735.5,10834.5,202,,,,,,,,,,,,
"55(1,G7)",ADNI-473,98469.5,10895,225,,,,,,,,,,,,
"56(1,H7)",ADNI-474,101650.5,10918,218,,,,,,,,,,,,
"57(1,A8)",ADNI-467,90944,10623.5,208,,,,,,,,,,,,
"58(1,B8)",ADNI-468,98009,10650,204,,,,,,,,,,,,
"59(1,C8)",ADNI-469,87820.5,10913,210,,,,,,,,,,,,
"60(1,D8)",ADNI-470,94805,10944,203,,,,,,,,,,,,
"61(1,E8)",ADNI-471,104877.5,10767.5,234,,,,,,,,,,,,
"62(1,F8)",ADNI-472,128596,10763,225,,,,,,,,,,,,
"63(1,G8)",ADNI-473,94885.5,10752,205,,,,,,,,,,,,
"64(1,H8)",ADNI-474,102146,10817.5,200,,,,,,,,,,,,
"65(1,A9)",ADNI-475,102227,10838.5,203,,,,,,,,,,,,
"66(1,B9)",ADNI-476,99368.5,10855,242,,,,,,,,,,,,
"67(1,C9)",ADNI-477,98642.5,10993,214,,,,,,,,,,,,
"68(1,D9)",ADNI-478,103091,10859,226,,,,,,,,,,,,
"69(1,E9)",ADNI-479,91842.5,10691,247,,,,,,,,,,,,
"70(1,F9)",ADNI-480,90206,10856,216,,,,,,,,,,,,
"71(1,G9)",ADNI-481,107908.5,10859,231,,,,,,,,,,,,
"72(1,H9)",ADNI-482,91658.5,10804,230,,,,,,,,,,,,
"73(1,A10)",ADNI-475,102883.5,10987,219,,,,,,,,,,,,
"74(1,B10)",ADNI-476,99668,10859,201,,,,,,,,,,,,
"75(1,C10)",ADNI-477,100682.5,10809,208,,,,,,,,,,,,
"76(1,D10)",ADNI-478,102238.5,10803,232,,,,,,,,,,,,
"77(1,E10)",ADNI-479,92661,10862,220,,,,,,,,,,,,
"78(1,F10)",ADNI-480,88673.5,10845.5,216,,,,,,,,,,,,
"79(1,G10)",ADNI-481,107955,10942,209,,,,,,,,,,,,
"80(1,H10)",ADNI-482,90494,10810,261,,,,,,,,,,,,
"81(1,A11)",BioS-09,99069,10756.5,250,,,,,,,,,,,,
"82(1,B11)",BioS-10,89376.5,10908,215,,,,,,,,,,,,
"83(1,C11)",BioS-11,99875.5,10796,226,,,,,,,,,,,,
"84(1,D11)",BioS-12,109522,10738.5,218,,,,,,,,,,,,
"85(1,E11)",BioS-13,96948.5,10935,215,,,,,,,,,,,,
"86(1,F11)",BioS-14,101293,10811.5,226,,,,,,,,,,,,
"87(1,G11)",BioS-15,101662,10790.5,222,,,,,,,,,,,,
"88(1,H11)",BioS-16,104094,10797,215,,,,,,,,,,,,
"89(1,A12)",BioS-09,100624.5,10776.5,216,,,,,,,,,,,,
"90(1,B12)",BioS-10,89376.5,10778.5,218,,,,,,,,,,,,
"91(1,C12)",BioS-11,99795,10830.5,226,,,,,,,,,,,,
"92(1,D12)",BioS-12,108427.5,10764,207,,,,,,,,,,,,
"93(1,E12)",BioS-13,95577,10753.5,218,,,,,,,,,,,,
"94(1,F12)",BioS-14,100371.5,10690,243,,,,,,,,,,,,
"95(1,G12)",BioS-15,102423,10810,214,,,,,,,,,,,,
